name,tier,event_type,month,day,year_offset
SC,top,conference,11,15,0
SC,top,deadline,4,8,0
IPDPS,top,conference,5,25,0
IPDPS,top,deadline,10,9,-1
PPoPP,top,conference,1,25,0
PPoPP,top,deadline,9,1,-1
HPDC,regular,conference,7,15,0
HPDC,regular,deadline,2,5,0
ICS,regular,conference,7,15,0
ICS,regular,deadline,12,16,-1
ICS,regular,deadline,2,9,0
SIGMOD,regular,conference,6,15,0
SIGMOD,regular,deadline,10,17,-1
SIGMOD,regular,deadline,1,17,0
SIGMOD,regular,deadline,4,17,0
VLDB,regular,conference,9,5,0
VLDB,regular,deadline,3,1,0
DRBSD,workshop,conference,11,15,0
DRBSD,workshop,deadline,8,15,0
ICPP,regular,conference,9,28,0
ICPP,regular,deadline,5,1,0
ICDCS,regular,conference,6,15,0
ICDCS,regular,deadline,1,21,0
MSST,regular,conference,6,5,0
MSST,regular,deadline,4,4,0
ICDE,regular,conference,5,5,0
ICDE,regular,deadline,6,18,-1
ICDE,regular,deadline,10,27,-1

